id,code,country_id/id,name
city_cl_05405,CL05405,base.cl,Zapallar (Reg. Valparaíso)
base.state_cl_06,CL06302,base.cl,Chépica (Reg. del Libertador Gral. Bernardo O'Higgins)
city_cl_06303,CL06303,base.cl,Chimbarongo (Reg. del Libertador Gral. Bernardo O'Higgins)
city_cl_06102,CL06102,base.cl,Codegua (Reg. del Libertador Gral. Bernardo O'Higgins)
city_cl_06103,CL06103,base.cl,Coinco (Reg. del Libertador Gral. Bernardo O'Higgins)
city_cl_06104,CL06104,base.cl,Coltauco (Reg. del Libertador Gral. Bernardo O'Higgins)
city_cl_06105,CL06105,base.cl,Doñihue (Reg. del Libertador Gral. Bernardo O'Higgins)
city_cl_06106,CL06106,base.cl,Graneros (Reg. del Libertador Gral. Bernardo O'Higgins)
city_cl_06202,CL06202,base.cl,La Estrella (Reg. del Libertador Gral. Bernardo O'Higgins)
city_cl_06107,CL06107,base.cl,Las Cabras (Reg. del Libertador Gral. Bernardo O'Higgins)
city_cl_06203,CL06203,base.cl,Litueche (Reg. del Libertador Gral. Bernardo O'Higgins)
city_cl_06304,CL06304,base.cl,Lolol (Reg. del Libertador Gral. Bernardo O'Higgins)
city_cl_06108,CL06108,base.cl,Machalí (Reg. del Libertador Gral. Bernardo O'Higgins)
city_cl_06109,CL06109,base.cl,Malloa (Reg. del Libertador Gral. Bernardo O'Higgins)
city_cl_06204,CL06204,base.cl,Marchihue (Reg. del Libertador Gral. Bernardo O'Higgins)
city_cl_06110,CL06110,base.cl,Mostazal (Reg. del Libertador Gral. Bernardo O'Higgins)
city_cl_06305,CL06305,base.cl,Nancagua (Reg. del Libertador Gral. Bernardo O'Higgins)
city_cl_06205,CL06205,base.cl,Navidad (Reg. del Libertador Gral. Bernardo O'Higgins)
city_cl_06111,CL06111,base.cl,Olivar (Reg. del Libertador Gral. Bernardo O'Higgins)
city_cl_06306,CL06306,base.cl,Palmilla (Reg. del Libertador Gral. Bernardo O'Higgins)
